date,steps,week,month,day,m_name,year,label
2016-10-25,169,2016-10-23,2016-10-01,3,10,1,
2016-10-26,5915,2016-10-23,2016-10-01,4,10,1,
2016-10-27,3109,2016-10-23,2016-10-01,5,10,1,
2016-10-28,5021,2016-10-23,2016-10-01,6,10,1,
2016-10-29,1199,2016-10-23,2016-10-01,7,10,1,
2016-10-30,1130,2016-10-30,2016-10-01,1,10,1,
2016-10-31,3827,2016-10-30,2016-10-01,2,10,1,
2016-11-01,4279,2016-10-30,2016-11-01,3,11,1,
2016-11-02,3090,2016-10-30,2016-11-01,4,11,1,
2016-11-03,5022,2016-10-30,2016-11-01,5,11,1,
2016-11-04,2636,2016-10-30,2016-11-01,6,11,1,
2016-11-05,2401,2016-10-30,2016-11-01,7,11,1,
2016-11-06,440,2016-11-06,2016-11-01,1,11,1,
2016-11-07,2384,2016-11-06,2016-11-01,2,11,1,
2016-11-08,4825,2016-11-06,2016-11-01,3,11,1,
2016-11-09,2138,2016-11-06,2016-11-01,4,11,1,
2016-11-10,3142,2016-11-06,2016-11-01,5,11,1,
2016-11-11,5160,2016-11-06,2016-11-01,6,11,1,
2016-11-12,1407,2016-11-06,2016-11-01,7,11,1,
2016-11-13,725,2016-11-13,2016-11-01,1,11,1,
2016-11-14,3010,2016-11-13,2016-11-01,2,11,1,
2016-11-15,4304,2016-11-13,2016-11-01,3,11,1,
2016-11-16,3655,2016-11-13,2016-11-01,4,11,1,
2016-11-17,4775,2016-11-13,2016-11-01,5,11,1,
2016-11-18,4652,2016-11-13,2016-11-01,6,11,1,
2016-11-19,3210,2016-11-13,2016-11-01,7,11,1,
2016-11-20,2167,2016-11-20,2016-11-01,1,11,1,
2016-11-21,1095,2016-11-20,2016-11-01,2,11,1,
2016-11-22,1402,2016-11-20,2016-11-01,3,11,1,
2016-11-23,415,2016-11-20,2016-11-01,4,11,1,
2016-11-24,3702,2016-11-20,2016-11-01,5,11,1,
2016-11-25,2170,2016-11-20,2016-11-01,6,11,1,
2016-11-26,1014,2016-11-20,2016-11-01,7,11,1,
2016-11-27,920,2016-11-27,2016-11-01,1,11,1,
2016-11-28,4527,2016-11-27,2016-11-01,2,11,1,
2016-11-29,3337,2016-11-27,2016-11-01,3,11,1,
2016-11-30,5924,2016-11-27,2016-11-01,4,11,1,
2016-12-01,5537,2016-11-27,2016-12-01,5,12,1,
2016-12-02,3971,2016-11-27,2016-12-01,6,12,1,
2016-12-03,2400,2016-11-27,2016-12-01,7,12,1,
2016-12-04,564,2016-12-04,2016-12-01,1,12,1,
2016-12-05,3669,2016-12-04,2016-12-01,2,12,1,
2016-12-06,2563,2016-12-04,2016-12-01,3,12,1,
2016-12-07,4409,2016-12-04,2016-12-01,4,12,1,
2016-12-08,4479,2016-12-04,2016-12-01,5,12,1,
2016-12-09,8104,2016-12-04,2016-12-01,6,12,1,
2016-12-10,2180,2016-12-04,2016-12-01,7,12,1,
2016-12-11,1126,2016-12-11,2016-12-01,1,12,1,
2016-12-12,4035,2016-12-11,2016-12-01,2,12,1,
2016-12-13,2574,2016-12-11,2016-12-01,3,12,1,
2016-12-14,3294,2016-12-11,2016-12-01,4,12,1,
